entry,at,order
"River: 10♣, K♣, K♠, Q♥ [8♣]",2021-04-23T08:04:36.459Z,161916507646200
"""kz @ 0a6Ik_ZRiT"" calls 175",2021-04-23T08:04:35.649Z,161916507565000
"""Eric @ dei7kEnUlw"" bets 175",2021-04-23T08:04:30.286Z,161916507028700
"Turn: 10♣, K♣, K♠ [Q♥]",2021-04-23T08:04:24.546Z,161916506454700
"""kz @ 0a6Ik_ZRiT"" checks",2021-04-23T08:04:23.739Z,161916506374000
"""Eric @ dei7kEnUlw"" checks",2021-04-23T08:04:20.678Z,161916506067900
"Flop:  [10♣, K♣, K♠]",2021-04-23T08:04:18.376Z,161916505837800
"""Eric @ dei7kEnUlw"" calls 80",2021-04-23T08:04:17.526Z,161916505752700
"""GQ @ Tj43FUuDGB"" folds",2021-04-23T08:04:15.589Z,161916505558900
"""GGGGunit @ BSJhpWucQ9"" folds",2021-04-23T08:04:08.730Z,161916504873100
"""kz @ 0a6Ik_ZRiT"" raises to 80",2021-04-23T08:04:06.487Z,161916504648700
"""Eric @ dei7kEnUlw"" raises to 40",2021-04-23T08:04:03.523Z,161916504352400
"""cw @ CE0qz3cL7r"" folds",2021-04-23T08:03:56.441Z,161916503644200
"""GQ @ Tj43FUuDGB"" posts a big blind of 10",2021-04-23T08:03:45.406Z,161916502540708
"""GGGGunit @ BSJhpWucQ9"" posts a small blind of 5",2021-04-23T08:03:45.406Z,161916502540707
"Your hand is 7♠, A♣",2021-04-23T08:03:45.406Z,161916502540702
"Player stacks: #3 ""cw @ CE0qz3cL7r"" (4242) | #5 ""Eric @ dei7kEnUlw"" (1646) | #7 ""kz @ 0a6Ik_ZRiT"" (1523) | #8 ""GGGGunit @ BSJhpWucQ9"" (4908) | #10 ""GQ @ Tj43FUuDGB"" (2426)",2021-04-23T08:03:45.406Z,161916502540701
"-- starting hand #171  (No Limit Texas Hold'em) (dealer: ""kz @ 0a6Ik_ZRiT"") --",2021-04-23T08:03:45.406Z,161916502540700
"-- ending hand #170 --",2021-04-23T08:03:42.488Z,161916502248902
"""GGGGunit @ BSJhpWucQ9"" collected 245 from pot",2021-04-23T08:03:42.488Z,161916502248901
"Uncalled bet of 100 returned to ""GGGGunit @ BSJhpWucQ9""",2021-04-23T08:03:42.488Z,161916502248900
"""Eric @ dei7kEnUlw"" folds",2021-04-23T08:03:41.677Z,161916502167800
"""GQ @ Tj43FUuDGB"" folds",2021-04-23T08:03:38.435Z,161916501843600
"""GGGGunit @ BSJhpWucQ9"" bets 100",2021-04-23T08:03:34.527Z,161916501452800
"Turn: 4♦, 4♥, 3♣ [2♥]",2021-04-23T08:03:17.348Z,161916499735000
"""Eric @ dei7kEnUlw"" checks",2021-04-23T08:03:16.541Z,161916499654200
"""GQ @ Tj43FUuDGB"" checks",2021-04-23T08:03:15.179Z,161916499518000
"""GGGGunit @ BSJhpWucQ9"" checks",2021-04-23T08:03:07.765Z,161916498776600
"Flop:  [4♦, 4♥, 3♣]",2021-04-23T08:03:01.863Z,161916498186500
"""Eric @ dei7kEnUlw"" calls 80",2021-04-23T08:03:01.054Z,161916498105500
"""GQ @ Tj43FUuDGB"" calls 80",2021-04-23T08:03:00.159Z,161916498015900
"""GGGGunit @ BSJhpWucQ9"" raises to 80",2021-04-23T08:02:55.996Z,161916497601800
"""kz @ 0a6Ik_ZRiT"" folds",2021-04-23T08:02:50.509Z,161916497051000
"""Eric @ dei7kEnUlw"" raises to 40",2021-04-23T08:02:49.237Z,161916496923800
"""cw @ CE0qz3cL7r"" folds",2021-04-23T08:02:42.273Z,161916496227400
"""GQ @ Tj43FUuDGB"" calls 10",2021-04-23T08:02:38.883Z,161916495888500
"""GGGGunit @ BSJhpWucQ9"" posts a big blind of 10",2021-04-23T08:02:36.436Z,161916495643708
"""kz @ 0a6Ik_ZRiT"" posts a small blind of 5",2021-04-23T08:02:36.436Z,161916495643707
"Your hand is 3♦, 9♦",2021-04-23T08:02:36.436Z,161916495643702
"Player stacks: #3 ""cw @ CE0qz3cL7r"" (4242) | #5 ""Eric @ dei7kEnUlw"" (1726) | #7 ""kz @ 0a6Ik_ZRiT"" (1528) | #8 ""GGGGunit @ BSJhpWucQ9"" (4743) | #10 ""GQ @ Tj43FUuDGB"" (2506)",2021-04-23T08:02:36.436Z,161916495643701
"-- starting hand #170  (No Limit Texas Hold'em) (dealer: ""Eric @ dei7kEnUlw"") --",2021-04-23T08:02:36.436Z,161916495643700
"-- ending hand #169 --",2021-04-23T08:02:33.525Z,161916495352702
"""GGGGunit @ BSJhpWucQ9"" collected 25 from pot",2021-04-23T08:02:33.525Z,161916495352701
"Uncalled bet of 70 returned to ""GGGGunit @ BSJhpWucQ9""",2021-04-23T08:02:33.525Z,161916495352700
"""kz @ 0a6Ik_ZRiT"" folds",2021-04-23T08:02:32.717Z,161916495271800
"""Eric @ dei7kEnUlw"" folds",2021-04-23T08:02:31.821Z,161916495182100
"""cw @ CE0qz3cL7r"" folds",2021-04-23T08:02:30.619Z,161916495061900
"""GQ @ Tj43FUuDGB"" folds",2021-04-23T08:02:29.634Z,161916494963500
"""GGGGunit @ BSJhpWucQ9"" raises to 80",2021-04-23T08:02:27.760Z,161916494776100
"""kz @ 0a6Ik_ZRiT"" posts a big blind of 10",2021-04-23T08:02:16.651Z,161916493665609
"""Eric @ dei7kEnUlw"" posts a small blind of 5",2021-04-23T08:02:16.651Z,161916493665608
"Your hand is 4♠, 5♦",2021-04-23T08:02:16.651Z,161916493665603
"Player stacks: #3 ""cw @ CE0qz3cL7r"" (4242) | #5 ""Eric @ dei7kEnUlw"" (1731) | #7 ""kz @ 0a6Ik_ZRiT"" (1538) | #8 ""GGGGunit @ BSJhpWucQ9"" (4728) | #10 ""GQ @ Tj43FUuDGB"" (2506)",2021-04-23T08:02:16.651Z,161916493665602
"-- starting hand #169  (No Limit Texas Hold'em) (dead button) --",2021-04-23T08:02:16.651Z,161916493665601
"The player ""nik @ fYiRGQheT5"" quits the game with a stack of 0.",2021-04-23T08:02:16.651Z,161916493665600
"-- ending hand #168 --",2021-04-23T08:02:07.613Z,161916492761501
"""GQ @ Tj43FUuDGB"" collected 2148 from pot with Two Pair, 10's & 9's (combination: 10♥, 10♠, 9♥, 9♣, 6♥)",2021-04-23T08:02:07.613Z,161916492761500
"River: 2♦, 9♥, 6♥, 9♣ [2♣]",2021-04-23T08:02:03.586Z,161916492359000
"""GQ @ Tj43FUuDGB"" shows a 10♥, 10♠.",2021-04-23T08:01:59.541Z,161916491954301
"""nik @ fYiRGQheT5"" shows a Q♠, A♦.",2021-04-23T08:01:59.541Z,161916491954300
"""GQ @ Tj43FUuDGB"" calls 814",2021-04-23T08:01:58.730Z,161916491873100
"""nik @ fYiRGQheT5"" raises to 814 and go all in",2021-04-23T08:01:25.183Z,161916488518300
"""GQ @ Tj43FUuDGB"" bets 400",2021-04-23T08:01:17.025Z,161916487702600
"""nik @ fYiRGQheT5"" checks",2021-04-23T08:01:02.019Z,161916486201900
"Turn: 2♦, 9♥, 6♥ [9♣]",2021-04-23T08:01:00.727Z,161916486073000
"""nik @ fYiRGQheT5"" calls 130",2021-04-23T08:00:59.908Z,161916485990900
"""GQ @ Tj43FUuDGB"" bets 130",2021-04-23T08:00:57.721Z,161916485772200
"""nik @ fYiRGQheT5"" checks",2021-04-23T08:00:55.232Z,161916485523300
"Flop:  [2♦, 9♥, 6♥]",2021-04-23T08:00:52.975Z,161916485297600
"""GQ @ Tj43FUuDGB"" calls 125",2021-04-23T08:00:52.136Z,161916485213700
"""Eric @ dei7kEnUlw"" folds",2021-04-23T08:00:50.573Z,161916485057400
"""nik @ fYiRGQheT5"" raises to 125",2021-04-23T08:00:49.675Z,161916484967500
"""cw @ CE0qz3cL7r"" folds",2021-04-23T08:00:44.812Z,161916484481300
"""GQ @ Tj43FUuDGB"" raises to 50",2021-04-23T08:00:42.432Z,161916484243300
"""GGGGunit @ BSJhpWucQ9"" folds",2021-04-23T08:00:31.648Z,161916483164900
"""kz @ 0a6Ik_ZRiT"" folds",2021-04-23T08:00:30.744Z,161916483074500
"""Eric @ dei7kEnUlw"" posts a big blind of 10",2021-04-23T08:00:27.068Z,161916482707009
"""nik @ fYiRGQheT5"" posts a small blind of 5",2021-04-23T08:00:27.068Z,161916482707008
"Your hand is 3♠, 6♣",2021-04-23T08:00:27.068Z,161916482707002
"Player stacks: #3 ""cw @ CE0qz3cL7r"" (4242) | #4 ""nik @ fYiRGQheT5"" (1069) | #5 ""Eric @ dei7kEnUlw"" (1741) | #7 ""kz @ 0a6Ik_ZRiT"" (1538) | #8 ""GGGGunit @ BSJhpWucQ9"" (4728) | #10 ""GQ @ Tj43FUuDGB"" (1427)",2021-04-23T08:00:27.068Z,161916482707001
"-- starting hand #168  (No Limit Texas Hold'em) (dealer: ""cw @ CE0qz3cL7r"") --",2021-04-23T08:00:27.068Z,161916482707000
"""cw @ CE0qz3cL7r"" shows a 6♦, 7♦.",2021-04-23T08:00:23.945Z,161916482394600
"""kz @ 0a6Ik_ZRiT"" shows a A♦, A♣.",2021-04-23T08:00:23.609Z,161916482361000
"-- ending hand #167 --",2021-04-23T08:00:22.746Z,161916482274702
"""cw @ CE0qz3cL7r"" collected 450 from pot",2021-04-23T08:00:22.746Z,161916482274701
"Uncalled bet of 1537 returned to ""cw @ CE0qz3cL7r""",2021-04-23T08:00:22.746Z,161916482274700
"""GQ @ Tj43FUuDGB"" folds",2021-04-23T08:00:21.936Z,161916482193700
"""kz @ 0a6Ik_ZRiT"" folds",2021-04-23T08:00:16.783Z,161916481678400
"""cw @ CE0qz3cL7r"" bets 1537",2021-04-23T07:59:47.640Z,161916478764100
"River: 10♦, Q♦, 5♥, A♥ [K♦]",2021-04-23T07:59:28.155Z,161916476815800
"""Eric @ dei7kEnUlw"" folds",2021-04-23T07:59:27.348Z,161916476734900
"""cw @ CE0qz3cL7r"" calls 90",2021-04-23T07:59:26.450Z,161916476645100
"""GQ @ Tj43FUuDGB"" calls 90",2021-04-23T07:59:22.072Z,161916476207200
"""kz @ 0a6Ik_ZRiT"" bets 90",2021-04-23T07:59:20.043Z,161916476004500
"""Eric @ dei7kEnUlw"" checks",2021-04-23T07:59:17.872Z,161916475787300
"""cw @ CE0qz3cL7r"" checks",2021-04-23T07:59:15.290Z,161916475529100
"Turn: 10♦, Q♦, 5♥ [A♥]",2021-04-23T07:59:12.680Z,161916475268100
"""Eric @ dei7kEnUlw"" calls 30",2021-04-23T07:59:11.873Z,161916475187400
"""nik @ fYiRGQheT5"" folds",2021-04-23T07:59:10.979Z,161916475097900
"""cw @ CE0qz3cL7r"" calls 30",2021-04-23T07:59:10.028Z,161916475002900
"""GQ @ Tj43FUuDGB"" calls 30",2021-04-23T07:59:00.558Z,161916474055800
"""GGGGunit @ BSJhpWucQ9"" folds",2021-04-23T07:58:58.031Z,161916473803200
"""kz @ 0a6Ik_ZRiT"" bets 30",2021-04-23T07:58:57.096Z,161916473709700
"""Eric @ dei7kEnUlw"" checks",2021-04-23T07:58:51.891Z,161916473189200
"""nik @ fYiRGQheT5"" checks",2021-04-23T07:58:47.085Z,161916472708500
"""cw @ CE0qz3cL7r"" checks",2021-04-23T07:58:45.693Z,161916472569400
"Flop:  [10♦, Q♦, 5♥]",2021-04-23T07:58:40.808Z,161916472080900
"""nik @ fYiRGQheT5"" checks",2021-04-23T07:58:39.996Z,161916471999700
"""cw @ CE0qz3cL7r"" calls 10",2021-04-23T07:58:38.471Z,161916471847200
"""GQ @ Tj43FUuDGB"" calls 10",2021-04-23T07:58:36.591Z,161916471659200
"""GGGGunit @ BSJhpWucQ9"" calls 10",2021-04-23T07:58:33.152Z,161916471315300
"""kz @ 0a6Ik_ZRiT"" calls 10",2021-04-23T07:58:29.627Z,161916470962800
"""Eric @ dei7kEnUlw"" calls 10",2021-04-23T07:58:22.173Z,161916470217400
"""nik @ fYiRGQheT5"" posts a big blind of 10",2021-04-23T07:58:18.300Z,161916469834609
"""cw @ CE0qz3cL7r"" posts a small blind of 5",2021-04-23T07:58:18.300Z,161916469834608
"Your hand is 6♦, 7♦",2021-04-23T07:58:18.300Z,161916469834602
"Player stacks: #3 ""cw @ CE0qz3cL7r"" (3922) | #4 ""nik @ fYiRGQheT5"" (1079) | #5 ""Eric @ dei7kEnUlw"" (1781) | #7 ""kz @ 0a6Ik_ZRiT"" (1668) | #8 ""GGGGunit @ BSJhpWucQ9"" (4738) | #10 ""GQ @ Tj43FUuDGB"" (1557)",2021-04-23T07:58:18.300Z,161916469834601
"-- starting hand #167  (No Limit Texas Hold'em) (dealer: ""GQ @ Tj43FUuDGB"") --",2021-04-23T07:58:18.300Z,161916469834600
"""cw @ CE0qz3cL7r"" shows a Q♦, 9♥.",2021-04-23T07:58:13.391Z,161916469339200
"-- ending hand #166 --",2021-04-23T07:58:09.184Z,161916468918503
"""GQ @ Tj43FUuDGB"" shows a 3♥, 4♥.",2021-04-23T07:58:09.184Z,161916468918502
"""kz @ 0a6Ik_ZRiT"" collected 520 from pot with Three of a Kind, 9's (combination: 9♠, 9♣, 9♦, A♥, J♥)",2021-04-23T07:58:09.184Z,161916468918501
"""kz @ 0a6Ik_ZRiT"" shows a J♥, 9♠.",2021-04-23T07:58:09.184Z,161916468918500
"""kz @ 0a6Ik_ZRiT"" calls 210",2021-04-23T07:58:08.378Z,161916468837900
"""GQ @ Tj43FUuDGB"" raises to 210",2021-04-23T07:58:03.534Z,161916468353500
"""kz @ 0a6Ik_ZRiT"" bets 50",2021-04-23T07:57:43.713Z,161916466371400
"""GQ @ Tj43FUuDGB"" checks",2021-04-23T07:57:40.777Z,161916466077900
"River: A♥, 9♣, 3♠, 9♦ [10♥]",2021-04-23T07:57:35.773Z,161916465577600
"""kz @ 0a6Ik_ZRiT"" checks",2021-04-23T07:57:34.960Z,161916465496100
"""GQ @ Tj43FUuDGB"" checks",2021-04-23T07:57:32.255Z,161916465225500
"Turn: A♥, 9♣, 3♠ [9♦]",2021-04-23T07:57:29.351Z,161916464935500
"""Eric @ dei7kEnUlw"" folds",2021-04-23T07:57:28.544Z,161916464854500
"""cw @ CE0qz3cL7r"" folds",2021-04-23T07:57:27.645Z,161916464764600
"""GQ @ Tj43FUuDGB"" calls 25",2021-04-23T07:57:21.655Z,161916464165600
"""GGGGunit @ BSJhpWucQ9"" folds",2021-04-23T07:57:17.118Z,161916463711900
"""kz @ 0a6Ik_ZRiT"" bets 25",2021-04-23T07:57:11.746Z,161916463174700
"""Eric @ dei7kEnUlw"" checks",2021-04-23T07:57:08.546Z,161916462854700
"""cw @ CE0qz3cL7r"" checks",2021-04-23T07:57:03.515Z,161916462351600
"""GQ @ Tj43FUuDGB"" checks",2021-04-23T07:56:59.133Z,161916461913400
"Flop:  [A♥, 9♣, 3♠]",2021-04-23T07:56:54.427Z,161916461442800
"""cw @ CE0qz3cL7r"" checks",2021-04-23T07:56:53.618Z,161916461361800
"""GQ @ Tj43FUuDGB"" calls 10",2021-04-23T07:56:49.334Z,161916460933500
"""GGGGunit @ BSJhpWucQ9"" calls 10",2021-04-23T07:56:44.932Z,161916460493300
"""kz @ 0a6Ik_ZRiT"" calls 10",2021-04-23T07:56:38.065Z,161916459806600
"""Eric @ dei7kEnUlw"" calls 10",2021-04-23T07:56:36.550Z,161916459655100
"""nik @ fYiRGQheT5"" folds",2021-04-23T07:56:31.844Z,161916459184400
"""cw @ CE0qz3cL7r"" posts a big blind of 10",2021-04-23T07:56:30.590Z,161916459059109
"""GQ @ Tj43FUuDGB"" posts a small blind of 5",2021-04-23T07:56:30.590Z,161916459059108
"Your hand is Q♦, 9♥",2021-04-23T07:56:30.590Z,161916459059102
"Player stacks: #3 ""cw @ CE0qz3cL7r"" (3932) | #4 ""nik @ fYiRGQheT5"" (1079) | #5 ""Eric @ dei7kEnUlw"" (1791) | #7 ""kz @ 0a6Ik_ZRiT"" (1393) | #8 ""GGGGunit @ BSJhpWucQ9"" (4748) | #10 ""GQ @ Tj43FUuDGB"" (1802)",2021-04-23T07:56:30.590Z,161916459059101
"-- starting hand #166  (No Limit Texas Hold'em) (dealer: ""GGGGunit @ BSJhpWucQ9"") --",2021-04-23T07:56:30.590Z,161916459059100
"""cw @ CE0qz3cL7r"" shows a 10♥, 9♥.",2021-04-23T07:56:29.476Z,161916458947700
"-- ending hand #165 --",2021-04-23T07:56:26.966Z,161916458696702
"""cw @ CE0qz3cL7r"" collected 40 from pot",2021-04-23T07:56:26.966Z,161916458696701
"Uncalled bet of 1802 returned to ""cw @ CE0qz3cL7r""",2021-04-23T07:56:26.966Z,161916458696700
"""GQ @ Tj43FUuDGB"" folds",2021-04-23T07:56:26.158Z,161916458615900
"""GGGGunit @ BSJhpWucQ9"" folds",2021-04-23T07:56:24.494Z,161916458449500
"""Eric @ dei7kEnUlw"" folds",2021-04-23T07:56:22.882Z,161916458288300
"""cw @ CE0qz3cL7r"" bets 1802",2021-04-23T07:56:20.153Z,161916458015400
"""GQ @ Tj43FUuDGB"" checks",2021-04-23T07:55:50.416Z,161916455041700
"""GGGGunit @ BSJhpWucQ9"" checks",2021-04-23T07:55:49.110Z,161916454911100
"Flop:  [J♥, 8♥, 5♥]",2021-04-23T07:55:45.056Z,161916454505700
"""GQ @ Tj43FUuDGB"" checks",2021-04-23T07:55:44.245Z,161916454424600
"""GGGGunit @ BSJhpWucQ9"" calls 10",2021-04-23T07:55:42.873Z,161916454287400
"""kz @ 0a6Ik_ZRiT"" folds",2021-04-23T07:55:30.536Z,161916453053700
"""Eric @ dei7kEnUlw"" calls 10",2021-04-23T07:55:29.628Z,161916452962900
"""nik @ fYiRGQheT5"" folds",2021-04-23T07:55:28.709Z,161916452871000
"""cw @ CE0qz3cL7r"" calls 10",2021-04-23T07:55:26.787Z,161916452678700
"""GQ @ Tj43FUuDGB"" posts a big blind of 10",2021-04-23T07:55:21.045Z,161916452104709
"""GGGGunit @ BSJhpWucQ9"" posts a small blind of 5",2021-04-23T07:55:21.045Z,161916452104708
"Your hand is 10♥, 9♥",2021-04-23T07:55:21.045Z,161916452104702
"Player stacks: #3 ""cw @ CE0qz3cL7r"" (3902) | #4 ""nik @ fYiRGQheT5"" (1079) | #5 ""Eric @ dei7kEnUlw"" (1801) | #7 ""kz @ 0a6Ik_ZRiT"" (1393) | #8 ""GGGGunit @ BSJhpWucQ9"" (4758) | #10 ""GQ @ Tj43FUuDGB"" (1812)",2021-04-23T07:55:21.045Z,161916452104701
"-- starting hand #165  (No Limit Texas Hold'em) (dealer: ""kz @ 0a6Ik_ZRiT"") --",2021-04-23T07:55:21.045Z,161916452104700
"-- ending hand #164 --",2021-04-23T07:55:11.999Z,161916451200003
"""nik @ fYiRGQheT5"" shows a K♦, 5♦.",2021-04-23T07:55:11.999Z,161916451200002
"""GGGGunit @ BSJhpWucQ9"" collected 1235 from pot with Full House, 7's over J's (combination: 7♦, 7♠, 7♥, J♣, J♦)",2021-04-23T07:55:11.999Z,161916451200001
"""GGGGunit @ BSJhpWucQ9"" shows a J♣, J♦.",2021-04-23T07:55:11.999Z,161916451200000
"""GGGGunit @ BSJhpWucQ9"" calls 280",2021-04-23T07:55:11.192Z,161916451119300
"""nik @ fYiRGQheT5"" bets 280",2021-04-23T07:54:47.626Z,161916448762700
"""GGGGunit @ BSJhpWucQ9"" checks",2021-04-23T07:54:36.967Z,161916447696800
"River: 7♦, 7♠, 4♠, 7♥ [Q♦]",2021-04-23T07:54:31.110Z,161916447111600
"""nik @ fYiRGQheT5"" checks",2021-04-23T07:54:30.302Z,161916447030400
"""GGGGunit @ BSJhpWucQ9"" checks",2021-04-23T07:54:23.313Z,161916446331400
"Turn: 7♦, 7♠, 4♠ [7♥]",2021-04-23T07:54:14.636Z,161916445463900
"""nik @ fYiRGQheT5"" calls 200",2021-04-23T07:54:13.831Z,161916445383200
"""GGGGunit @ BSJhpWucQ9"" bets 200",2021-04-23T07:54:09.085Z,161916444908600
"Flop:  [7♦, 7♠, 4♠]",2021-04-23T07:53:57.332Z,161916443733400
"""Eric @ dei7kEnUlw"" folds",2021-04-23T07:53:56.523Z,161916443652400
"""nik @ fYiRGQheT5"" calls 120",2021-04-23T07:53:54.568Z,161916443456800
"""GGGGunit @ BSJhpWucQ9"" raises to 120",2021-04-23T07:53:52.089Z,161916443209000
"""kz @ 0a6Ik_ZRiT"" folds",2021-04-23T07:53:46.818Z,161916442681900
"""Eric @ dei7kEnUlw"" calls 30",2021-04-23T07:53:45.915Z,161916442591600
"""nik @ fYiRGQheT5"" raises to 30",2021-04-23T07:53:43.718Z,161916442372200
"""cw @ CE0qz3cL7r"" folds",2021-04-23T07:53:41.758Z,161916442175900
"""GQ @ Tj43FUuDGB"" folds",2021-04-23T07:53:39.453Z,161916441945400
"""GGGGunit @ BSJhpWucQ9"" posts a big blind of 10",2021-04-23T07:53:37.641Z,161916441764209
"""kz @ 0a6Ik_ZRiT"" posts a small blind of 5",2021-04-23T07:53:37.641Z,161916441764208
"Your hand is 10♥, 4♦",2021-04-23T07:53:37.641Z,161916441764202
"Player stacks: #3 ""cw @ CE0qz3cL7r"" (3902) | #4 ""nik @ fYiRGQheT5"" (1679) | #5 ""Eric @ dei7kEnUlw"" (1831) | #7 ""kz @ 0a6Ik_ZRiT"" (1398) | #8 ""GGGGunit @ BSJhpWucQ9"" (4123) | #10 ""GQ @ Tj43FUuDGB"" (1812)",2021-04-23T07:53:37.641Z,161916441764201
"-- starting hand #164  (No Limit Texas Hold'em) (dealer: ""Eric @ dei7kEnUlw"") --",2021-04-23T07:53:37.641Z,161916441764200
"-- ending hand #163 --",2021-04-23T07:53:34.728Z,161916441472902
"""kz @ 0a6Ik_ZRiT"" collected 155 from pot",2021-04-23T07:53:34.728Z,161916441472901
"Uncalled bet of 50 returned to ""kz @ 0a6Ik_ZRiT""",2021-04-23T07:53:34.728Z,161916441472900
"""nik @ fYiRGQheT5"" folds",2021-04-23T07:53:33.921Z,161916441392200
"""GQ @ Tj43FUuDGB"" folds",2021-04-23T07:53:32.699Z,161916441270000
"""kz @ 0a6Ik_ZRiT"" bets 50",2021-04-23T07:53:26.638Z,161916440663900
"Flop:  [K♦, 5♠, Q♣]",2021-04-23T07:53:20.989Z,161916440099100
"""GQ @ Tj43FUuDGB"" calls 50",2021-04-23T07:53:20.180Z,161916440018100
"""kz @ 0a6Ik_ZRiT"" calls 50",2021-04-23T07:53:17.653Z,161916439765500
"""Eric @ dei7kEnUlw"" folds",2021-04-23T07:53:16.511Z,161916439651200
"""nik @ fYiRGQheT5"" raises to 50",2021-04-23T07:53:06.188Z,161916438619000
"""cw @ CE0qz3cL7r"" folds",2021-04-23T07:53:01.883Z,161916438188400
"""GQ @ Tj43FUuDGB"" calls 10",2021-04-23T07:52:52.443Z,161916437244500
"""GGGGunit @ BSJhpWucQ9"" folds",2021-04-23T07:52:46.522Z,161916436652300
"""kz @ 0a6Ik_ZRiT"" posts a big blind of 10",2021-04-23T07:52:42.239Z,161916436224009
"""Eric @ dei7kEnUlw"" posts a small blind of 5",2021-04-23T07:52:42.239Z,161916436224008
"Your hand is K♣, 9♦",2021-04-23T07:52:42.239Z,161916436224002
"Player stacks: #3 ""cw @ CE0qz3cL7r"" (3902) | #4 ""nik @ fYiRGQheT5"" (1729) | #5 ""Eric @ dei7kEnUlw"" (1836) | #7 ""kz @ 0a6Ik_ZRiT"" (1293) | #8 ""GGGGunit @ BSJhpWucQ9"" (4123) | #10 ""GQ @ Tj43FUuDGB"" (1862)",2021-04-23T07:52:42.239Z,161916436224001
"-- starting hand #163  (No Limit Texas Hold'em) (dealer: ""nik @ fYiRGQheT5"") --",2021-04-23T07:52:42.239Z,161916436224000
"-- ending hand #162 --",2021-04-23T07:52:39.318Z,161916435931902
"""GQ @ Tj43FUuDGB"" collected 405 from pot",2021-04-23T07:52:39.318Z,161916435931901
"Uncalled bet of 405 returned to ""GQ @ Tj43FUuDGB""",2021-04-23T07:52:39.318Z,161916435931900
"""cw @ CE0qz3cL7r"" folds",2021-04-23T07:52:38.508Z,161916435850900
"""GQ @ Tj43FUuDGB"" bets 405",2021-04-23T07:52:37.035Z,161916435703600
"River: 3♥, K♣, 8♥, J♠ [7♠]",2021-04-23T07:52:22.780Z,161916434278400
"""GQ @ Tj43FUuDGB"" calls 135",2021-04-23T07:52:21.971Z,161916434197200
"""cw @ CE0qz3cL7r"" bets 135",2021-04-23T07:52:20.572Z,161916434057300
"""GQ @ Tj43FUuDGB"" checks",2021-04-23T07:51:57.039Z,161916431704000
"Turn: 3♥, K♣, 8♥ [J♠]",2021-04-23T07:51:53.795Z,161916431379700
"""GQ @ Tj43FUuDGB"" calls 45",2021-04-23T07:51:52.986Z,161916431298700
"""kz @ 0a6Ik_ZRiT"" folds",2021-04-23T07:51:51.359Z,161916431136000
"""Eric @ dei7kEnUlw"" folds",2021-04-23T07:51:50.454Z,161916431045500
"""cw @ CE0qz3cL7r"" bets 45",2021-04-23T07:51:48.841Z,161916430884300
"""GQ @ Tj43FUuDGB"" checks",2021-04-23T07:51:39.322Z,161916429932300
"""kz @ 0a6Ik_ZRiT"" checks",2021-04-23T07:51:35.560Z,161916429556100
"""Eric @ dei7kEnUlw"" checks",2021-04-23T07:51:34.193Z,161916429419400
"Flop:  [3♥, K♣, 8♥]",2021-04-23T07:51:31.727Z,161916429172800
"""Eric @ dei7kEnUlw"" checks",2021-04-23T07:51:30.919Z,161916429092000
"""nik @ fYiRGQheT5"" folds",2021-04-23T07:51:24.718Z,161916428471900
"""cw @ CE0qz3cL7r"" calls 10",2021-04-23T07:51:23.796Z,161916428379700
"""GQ @ Tj43FUuDGB"" calls 10",2021-04-23T07:51:21.546Z,161916428154600
"""GGGGunit @ BSJhpWucQ9"" folds",2021-04-23T07:51:19.632Z,161916427963300
"""kz @ 0a6Ik_ZRiT"" calls 10",2021-04-23T07:51:18.114Z,161916427811400
"""Eric @ dei7kEnUlw"" posts a big blind of 10",2021-04-23T07:51:15.879Z,161916427588009
"""nik @ fYiRGQheT5"" posts a small blind of 5",2021-04-23T07:51:15.879Z,161916427588008
"Your hand is 8♦, 6♠",2021-04-23T07:51:15.879Z,161916427588002
"Player stacks: #3 ""cw @ CE0qz3cL7r"" (4092) | #4 ""nik @ fYiRGQheT5"" (1734) | #5 ""Eric @ dei7kEnUlw"" (1846) | #7 ""kz @ 0a6Ik_ZRiT"" (1303) | #8 ""GGGGunit @ BSJhpWucQ9"" (4123) | #10 ""GQ @ Tj43FUuDGB"" (1647)",2021-04-23T07:51:15.879Z,161916427588001
"-- starting hand #162  (No Limit Texas Hold'em) (dealer: ""cw @ CE0qz3cL7r"") --",2021-04-23T07:51:15.879Z,161916427588000
"""nik @ fYiRGQheT5"" shows a A♠, 10♦.",2021-04-23T07:51:13.763Z,161916427376400
"-- ending hand #161 --",2021-04-23T07:51:12.237Z,161916427223902
"""GGGGunit @ BSJhpWucQ9"" collected 225 from pot",2021-04-23T07:51:12.237Z,161916427223901
"Uncalled bet of 110 returned to ""GGGGunit @ BSJhpWucQ9""",2021-04-23T07:51:12.237Z,161916427223900
"""GQ @ Tj43FUuDGB"" folds",2021-04-23T07:51:11.427Z,161916427142800
"""GGGGunit @ BSJhpWucQ9"" bets 110",2021-04-23T07:51:04.344Z,161916426434400
"Flop:  [K♠, 10♣, 10♠]",2021-04-23T07:50:42.838Z,161916424284000
"""Eric @ dei7kEnUlw"" folds",2021-04-23T07:50:42.030Z,161916424203100
"""nik @ fYiRGQheT5"" folds",2021-04-23T07:50:39.985Z,161916423998600
"""cw @ CE0qz3cL7r"" folds",2021-04-23T07:50:38.878Z,161916423887900
"""GQ @ Tj43FUuDGB"" calls 100",2021-04-23T07:50:34.817Z,161916423481800
